House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Thomas Roads,Marilyn,Davies,44,Head,Married,Female,Unemployed,None,Christian
1,Thomas Roads,Mohammed,Davies-Tomlinson,45,Husband,Married,Male,Counselling psychologist,None,No Religion
1,Thomas Roads,Anna,Davies-Tomlinson,16,Daughter,NA,Female,Student,None,Christian
1,Thomas Roads,Caroline,Davies-Tomlinson,13,Daughter,NA,Female,Student,None,Christian
1,Thomas Roads,Denis,Davies-Tomlinson,11,Son,NA,Male,Student,None,Christian
2,Thomas Roads,Harriet,Rowe,39,Head,Single,Female,Unemployed,None,No Religion
2,Thomas Roads,Timothy,Rowe,15,Son,NA,Male,Student,None,NA
2,Thomas Roads,Andrea,Rowe,11,Daughter,NA,Female,Student,None,NA
2,Thomas Roads,Keith,Rowe,8,Son,NA,Male,Student,None,NA
2,Thomas Roads,Neil,Rowe,6,Son,NA,Male,Student,None,NA
3,Thomas Roads,Kimberley,Holloway,50,Head,Married,Female,Legal executive,None,Christian
3,Thomas Roads,Elliot,Holloway,53,Husband,Married,Male,"Geneticist, molecular",None,Christian
3,Thomas Roads,Sylvia,Holloway,25,Daughter,Divorced,Female,Television camera operator,None,Christian
3,Thomas Roads,Paul,Holloway,22,Son,Single,Male,University Student,None,Christian
3,Thomas Roads,Lydia,Holloway,17,Daughter,NA,Female,Student,None,No Religion
4,Thomas Roads,Rosemary,Rogers,43,Head,Single,Female,Fisheries officer,None,No Religion
4,Thomas Roads,Jodie,Rogers,11,Daughter,NA,Female,Student,None,NA
5,Thomas Roads,Bethany,Wade,47,Head,Divorced,Female,Charity fundraiser,None,Christian
5,Thomas Roads,Chloe,Wade,17,Daughter,NA,Female,Student,None,NA
5,Thomas Roads,Glenn,Wade,10,Son,NA,Male,Student,None,NA
6,Thomas Roads,Debra,Green,39,Head,Married,Female,"Research officer, government",None,Christian
6,Thomas Roads,Bruce,Green,44,Husband,Married,Male,Musician,None,No Religion
6,Thomas Roads,Jacqueline,Green,10,Daughter,NA,Female,Student,None,Christian
7,Thomas Roads,Lesley,Barker,80,Head,Divorced,Female,Retired Furniture designer,None,Christian
8,Thomas Roads,Rita,Hunt,101,Head,Married,Female,"Retired Psychologist, forensic",None,No Religion
